1~4,パイロデビル.png,パイロデビル,火,2480,1,19050,1400,-
1~4,フロストデビル-2d2aab41fadebe58f0b5a35f6f786684.png,フロストデビル,水,2510,1,19200,1400,-
1~4,タウロスデビル-ddef0b499b5ccde385ffd5da1de334b4.png,タウロスデビル,木,2570,1,19350,1400,-
1~4,ハーピィデビル-6190755fb56cedf53a7c74f761321b3d.png,ハーピィデビル,光,2600,1,19650,1400,-
1~4,ブラッドデビル-2b01e4a9800447bd50fab57fdba702e2.png,ブラッドデビル,闇,2690,1,19800,1400,-
1~4,パイロデーモン-d240e42b9f9dabd706fe4b55a0fce8d7.png,パイロデーモン,火,4460,2,46650,2200,-
1~4,フロストデーモン-b51fc8156ccd7e89c7c0dde858991dd0.png,フロストデーモン,水,4490,2,48150,2200,-
1~4,タウロスデーモン-8e7d296ea8444381155bf1e9aaf53aff.png,タウロスデーモン,木,4670,2,49650,2200,-
1~4,ハーピィデーモン-2d61e395bc5622983a50be1ab0a75632.png,ハーピィデーモン,光,4550,2,51150,2200,-
1~4,ブラッドデーモン-9c2297652c93d805bac54ccb6101abe7.png,ブラッドデーモン,闇,4580,2,52650,2200,-
1~4,炎の魔剣士-fda395aeee6ccab8e7b4cce56b2e19b8.png,炎の魔剣士,火,5480,3,76350,900,-
1~4,氷の魔剣士-f4f53dc81bf005b4075c53eff709cd88.png,氷の魔剣士,水,5540,3,76350,900,-
1~4,岩の魔剣士-063db447c6461b46327dff9c76534801.png,岩の魔剣士,木,5630,3,76350,900,-
1~4,光の魔剣士-29c9e7ffa8d3911dfa2750996ba763e8.png,光の魔剣士,光,5660,3,76350,900,-
1~4,闇の魔剣士-e2ced2b19074cb5098a9e4f16855e6e1.png,闇の魔剣士,闇,5720,3,76350,900,-
5,ヴィーナス-5a58a9f1ae3cb1a116879d3f177541d9.png,ヴィーナス,光,5647,1,429420,1200,-
6,ミネルヴァ-dd9c9e51d570cf3c34c0273009934cca.png,ミネルヴァ,火,13117,3,515043,1200,-
7,セレス-36e914218edaa56e3d9c6bdaea9c0b34.png,セレス,木,10780,2,515043,1200,-
8,ネプチューン-854eab1679bfa44f10740db585ae4b3b.png,ネプチューン,水,18480,4,44490,72000,-
9,ハーデス-a36906d87f0f7476b00a8d38e62f8506.png,ハーデス,闇,82133,6,600600,1200,-
10,ヘラ-d4f73c966c889c3cbfe459fb2cb62c7c.png,ヘラ,闇,12345,1,2569320,372,-
