-,-,地獄級,-,-,-,-,-,-
1,クロムギドラ-7bfcdf135a5c5025f594162afe3b158c.png,クロムギドラx2,闇,5842,2,71256,80,-
1,アメペンドラ-c75b165e6c7c9eac41ec351f97588276.png,アメペンドラ,闇,4523,2,136387,128,-
2,ボーンフィッシュ-916a07ecf241503569655295bda5f3bd.png,ボーンフィッシュx3,闇,6042,1,9,600000,-
3,ティアマット-0f9711d82883a14648f21153f26e250c.png,ティアマット,闇,14254,2,560895,2380,-
4,ドラゴンゾンビ-2d851173a0ddcbd2603595f2e9d8a505.png,ドラゴンゾンビ,闇,21903,3,1529931,0,-
-,-,超級,-,-,-,-,-,-
1,クロムギドラ-7bfcdf135a5c5025f594162afe3b158c.png,クロムギドラx2,闇,2645,2,32267,40,-
1,アメペンドラ-c75b165e6c7c9eac41ec351f97588276.png,アメペンドラ,闇,2048,2,61760,164,-
2,ボーンフィッシュ-916a07ecf241503569655295bda5f3bd.png,ボーンフィッシュx3,闇,4132,1,5,600000,-
3,ティアマット-0f9711d82883a14648f21153f26e250c.png,ティアマット,闇,7477,2,294240,1360,-
4,ドラゴンゾンビ-2d851173a0ddcbd2603595f2e9d8a505.png,ドラゴンゾンビ,闇,6658,3,465099,0,-
