1~3,火の下忍-0d84e352edadeecfc0b8140f6dbcb828.png,火の下忍,火,6390,1,12000,3000,影縫いの術（1体バインド）※HP25%以下で使用
1~3,水の下忍-7c3e5d4f4cafb4591f7b0ca156dd4818.png,水の下忍,水,6300,1,12300,3000,影縫いの術（1体バインド）※HP25%以下で使用
1~3,木の下忍-3507bff1d06eda90e8ce760ee7e52fd4.png,木の下忍,木,5450,1,12150,3000,影縫いの術（1体バインド）※HP25%以下で使用
1~3,火の中忍-c781d9893e4a9f2f6f80e776f55ea59f.png,火の中忍,火,4050,1,15,60000,剛力の丸薬（5ターン攻撃力3倍）※HP25%以下で使用
1~3,水の中忍-a902c45dae68389ce9d31551008fb299.png,水の中忍,水,4050,1,15,60000,剛力の丸薬（5ターン攻撃力3倍）※HP25%以下で使用
1~3,木の中忍-6a47bdf6e8de3448da54ef42a5cabb95.png,木の中忍,木,4050,1,15,60000,剛力の丸薬（5ターン攻撃力3倍）※HP25%以下で使用
1,-,下忍5体が出現,-,-,-,-,-,-
2,-,下忍2体、中忍2体が出現,-,-,-,-,-,-
3,-,中忍4体が出現,-,-,-,-,-,-
4,焔尾の天狐・ミツキ-d594939afd58a5002fc4c01a31711733.png,焔尾の天狐・ミツキ,火,9587,1,1745585,336,クスクス笑っている<br>水濡れ厳禁（水属性1～3ターンバインド）<br>焔尾の猛襲（連続攻撃14380）※HP30%以下で使用
5,石川五右衛門-b7980b5e8ee09e26b8469a2b853357a2.png,石川五右衛門,火,17172,1,3513429,2480,天上大花火の術（34344、初回1度きり）<br>絶景かな、絶景かな！（3体2～3ターンバインド、1度きり）<br>煙幕（ドロップが見えなくなる) <br>銭投げ（連続攻撃25758）※HP25%以下で使用
